theta,dL,kappa
2.5566854761831554,1.9752026489543515,-0.07920721293655256
2.4002351793745063,1.9768650938246934,-0.07113627808715917
2.2596083543193237,1.9817089936333498,-0.05841194951544894
2.143852868628843,1.9833693414572038,-0.03544066683962477
2.0735609365782968,1.9912651789445384,-0.010898190396524675
2.0518597495281785,1.9946391429837653,-0.0007706624405409189
2.0503225560582474,1.9937108323255885,0.0015806990383730032
2.0534740128537,1.9919905332327472,0.0038612383894007867
2.061165563171945,1.9896058780977535,0.006159367827811561
2.0734202776075312,1.9867656176258714,0.008426610857289
2.0901619783319143,1.9838586704695522,0.008283941174860835
2.10659614685733,1.9837446824052138,0.004688135105742409
2.1158962099437484,1.9896428646373008,0.00039755942679458933
2.11668721122054,2.0003652185646605,-0.00868894402514524
2.0993061498065755,2.0042467685723966,-0.020969404250014725
2.057278289099574,1.9963352155533736,-0.031108754700112533
1.995174786579697,1.9844068796525511,-0.030656848820988784
1.934339124870828,1.9790535485383214,-0.027207035399197436
1.8804949449188113,1.9799717822040686,-0.023533630173086743
1.8338990212432498,1.984885743980184,-0.019790863163438723
1.794616419089058,1.9918041306221874,-0.011938808095848847
1.7708366518090286,1.9965091021412509,0.008320204157540142
1.7874480151412393,1.9895212344238773,0.031397303792798766
1.8499136177407012,1.9742072534651778,0.05530761783012793
1.959102318032875,1.9674963508841696,0.0701655170605409
2.0971527168074604,1.9762826411725984,0.07118653182575
2.237837423940042,1.9787006093568387,0.07338785986002544
2.383050026964542,1.9739240549311947,0.07736306167654294
2.535758835371073,1.9678643007284484,0.07716812088933082
2.6876152256235617,1.9686551698833814,0.07456015208877025
2.834398454500485,1.974807428247916,0.07293804481397359
2.9784370472010724,1.983248880947987,0.07257147755269504
3.1223643488462693,1.9912554915324878,-3.081225449217054
-3.0131427475599275,1.9876614054415491,0.07926015096915467
-2.855600404488989,1.9730981911627357,0.08768326608619316
-2.6825927107789926,1.958604691759895,0.09449781676491016
-2.4975088435020782,1.959870673192494,0.08636586993797674
-2.328242907845794,1.9760433730252356,0.07563312426339586
-2.178788573863841,1.9879151810399405,0.06830780782596539
-2.042998445702977,1.9816679619529083,0.05980125756024246
-1.9244922095112906,1.9715340393913996,0.044349824164387035
-1.837055021530134,1.9758763283566725,0.02779133970376996
-1.7821427712761082,1.980741270707027,0.011729235132925
-1.758910191174485,1.9765308818658445,-0.00290574712609346
-1.7646534901041047,1.9753705842893872,-0.017211728576302578
-1.798653032438523,1.9890725626668482,-0.0414624083582731
-1.8811247712860941,1.9835611446996504,-0.06898258175550612
-2.017955940117452,1.9638375708383151,-0.06609312394170894
-2.1477521000883195,1.9671369392977545,-0.05093924896650363
-2.2479565783904647,1.9818077813584871,-0.03617853663284926
-2.3196554838076446,1.9908495969629667,-0.02406080100494255
-2.3675569197909647,1.987637914847807,-0.01774507466813181
-2.4028277030031666,1.9849683590590756,-0.012558118154842549
-2.427755170189867,1.984824885363468,-0.007319158289933049
-2.4422824177036477,1.9856667051641166,-0.0020920733456054985
