x,y
-1527.2461686119786,105915.61293656752
-1527.27508850093,105915.59123071982
-1527.304008390056,105915.56952487445
-1527.3329282792984,105915.54781902768
-1527.3618481711019,105915.52611318184
-1527.390768060577,105915.5044073374
-1527.4198685401934,105915.47161594825
-1527.4487884299597,105915.44991010195
-1527.4777083222289,105915.42820425611
-1527.4971086423611,105915.40634333203
-1527.5260285324184,105915.38463748479
-1527.5551290128496,105915.35184609704
-1527.584048903198,105915.33014025213
-1527.6129687960492,105915.3084344063
-1527.6418886866886,105915.28672855953
-1527.670808577328,105915.26502271648
-1527.6997284682002,105915.24331687111
-1527.7288289520657,105915.2105254829
-1527.7579294334864,105915.17773409607
-1527.786849324766,105915.15602825023
-1527.8157692161622,105915.1343224058
-1527.8446891100612,105915.11261656089
-1527.8736090016318,105915.09091071552
-1527.902709483984,105915.05811932869
-1527.9221098056296,105915.03625840507
-1527.9510296999943,105915.01455256063
-1527.979949592147,105914.9928467162
-1528.008869484358,105914.97114087082
-1528.0379699673504,105914.93834948493
-1528.0668898623553,105914.91664364049
-1528.0958097549155,105914.89493779652
-1528.1247296477668,105914.87323195208
-1528.1538301313412,105914.84044056525
-1528.1827500268118,105914.81873472221
-1528.2116699199541,105914.79702887777
-1528.2405898132129,105914.7753230352
-1528.2695097065298,105914.75361719169
-1528.3081297640456,105914.72098088497
-1528.3372302486678,105914.68818949861
-1528.356630571885,105914.66632857453
-1528.385550465784,105914.64462273195
-1528.4144703622442,105914.62291688938
-1528.4435708475066,105914.59012550255
-1528.4724907418713,105914.56841965998
-1528.5014106362942,105914.54671381693
-1528.5303305332782,105914.52500797343
-1528.5594310191227,105914.49221658893
-1528.588350913953,105914.47051074542
-1528.6172708088998,105914.44880490284
-1528.6461907064077,105914.4270990598
-1528.6752911929507,105914.3943076753
-1528.7042110882467,105914.3726018318
-1528.7426505546318,105914.35105107073
-1528.7715704526054,105914.32934522675
-1528.800670939847,105914.29655384226
-1528.829590835725,105914.27484800108
-1528.8585107316612,105914.2531421585
-1528.887611221755,105914.22035077494
-1528.9165311179822,105914.19864493143
-1528.9456316060387,105914.1658535474
-1528.974551502557,105914.14414770529
-1529.0034714016365,105914.12244186457
-1529.0323912983877,105914.10073602293
-1529.0614917870262,105914.06794463797
-1529.0904116840102,105914.04623879632
-1529.1193315836717,105914.0245329556
-1529.1484320727177,105913.99174157158
-1529.1773519701674,105913.97003573179
-1529.2062718701782,105913.94832988922
-1529.2351917678025,105913.92662404804
-1529.2738118289271,105913.89398774551
-1529.3027317292872,105913.8722819048
-1529.3316516274353,105913.85057606315
-1529.3605715255835,105913.82887022244
-1529.3896720159682,105913.79607883934
-1529.4185919169104,105913.77437299909
-1529.447511815466,105913.75266715745
-1529.4766123063164,105913.71987577481
-1529.5057127973996,105913.68708439218
-1529.5441522704205,105913.66553363344
-1529.5730721695581,105913.64382779319
-1529.6019920688705,105913.62212195247
-1529.631092560594,105913.58933056938
-1529.6600124625256,105913.56762472913
-1529.6889323621872,105913.54591888981
-1529.7180328543764,105913.51312750811
-1529.746952754329,105913.49142166786
-1529.7758726568427,105913.46971582761
-1529.8049731494975,105913.43692444498
-1529.8338930497994,105913.41521860613
-1529.87233252218,105913.39366784832
-1529.9012524251593,105913.37196200853
-1529.9303529184544,105913.3391706259
-1529.9592728193384,105913.31746478658
-1529.9881927203387,105913.2957589482
-1530.0172932165442,105913.2629675665
-1530.0462131177774,105913.24126172764
-1530.0848331863526,105913.20862542698
-1530.113753087935,105913.18691958906
-1530.1428535823943,105913.15412820829
-1530.1717734842096,105913.13242236897
-1530.200693388586,105913.11071653012
-1530.229793883569,105913.07792514795
-1530.2587137857918,105913.05621931003
-1530.297153260326,105913.03466855409
-1530.3260731627233,105913.0129627157
-1530.3551736607915,105912.98017133586
-1530.3840935635963,105912.95846549654
-1530.4130134664592,105912.93675965769
