s,x,y
400.0,-1722.3657731141138,105941.57646338217
402.0,-1721.1879076430137,105943.18413114203
404.0,-1719.9831241541406,105944.76821036071
406.0,-1718.7544614849987,105946.3314691652
408.0,-1717.5049584730912,105947.87667568277
410.0,-1716.2376539559216,105949.4065980405
412.0,-1714.9555867709932,105950.9240043655
414.0,-1713.6617957558099,105952.43166278502
416.0,-1712.3593197478745,105953.93234142609
418.0,-1711.0511975846914,105955.42880841589
420.0,-1709.7404681037635,105956.92383188156
422.0,-1708.4301701425945,105958.42017995026
424.0,-1707.1233425386872,105959.92062074911
426.0,-1705.8230140568605,105961.42791279526
428.0,-1704.531041551742,105962.94369652636
430.0,-1703.2470306451405,105964.46746455567
432.0,-1701.9703317332303,105965.99846599449
434.0,-1700.700295212188,105967.53594995412
436.0,-1699.4362714781885,105969.07916554569
438.0,-1698.1776109274062,105970.62736188054
440.0,-1696.9236639560172,105972.17978806986
442.0,-1695.6737809601957,105973.73569322494
444.0,-1694.4273123361183,105975.29432645703
446.0,-1693.183608479959,105976.85493687735
448.0,-1691.9420197878933,105978.4167735972
450.0,-1690.7018966560966,105979.97908572778
452.0,-1689.4625894807439,105981.54112238032
454.0,-1688.2234486580107,105983.10213278835
456.0,-1686.983824584072,105984.6614804323
458.0,-1685.7430676551025,105986.2188549278
460.0,-1684.5005282672785,105987.77400370725
462.0,-1683.255556816774,105989.32667420318
464.0,-1682.007503699765,105990.87661384801
466.0,-1680.7557193124267,105992.42357007423
468.0,-1679.4995540509337,105993.96729031432
470.0,-1678.238358311462,105995.50752200068
472.0,-1676.9714824901857,105997.04401256586
474.0,-1675.6982769832814,105998.57650944227
476.0,-1674.418092186923,106000.10476006242
478.0,-1673.1302784972863,106001.6285118587
480.0,-1671.8303853047419,106003.14265429504
482.0,-1670.4949909647812,106004.61783043925
484.0,-1669.094767026544,106006.01713402057
486.0,-1667.6003831369046,106007.30365633708
488.0,-1665.9831151184856,106008.44030962478
490.0,-1664.2384876939798,106009.38284308914
492.0,-1662.3939271742804,106010.07758233072
494.0,-1660.479032770013,106010.47021108388
496.0,-1658.5274686716175,106010.50977062868
498.0,-1656.5970059397107,106010.16554080162
